sid1,sid2,dist_m
2735,A08,351.17
2735,N02,473.26
2736,A08,181.32
2736,N02,294.03
2761,E17,200.34
2762,YL08,236.68
2763,YL08,390.98
2821,E19,272.02
2823,E20,432.02
2829,YL21,158.72
2830,YL20,112.63
2830,YL21,449.41
2831,YL20,310.00
2834,YL19,356.31
2836,YL18,120.27
2837,A04,460.08
2837,YL11,99.63
2839,YL10,87.00
2841,YL09,429.21
2843,YL09,71.27
2844,YL09,359.20
2846,YL10,244.66
2847,YL10,331.49
2849,A04,418.96
2849,YL11,74.75
2850,YL18,115.25
2852,YL19,329.21
2855,YL20,103.05
2855,YL21,463.17
2856,YL20,195.54
2856,YL21,372.18
2857,YL21,165.75
2863,BL03,137.79
2864,BL03,433.93
2880,BL38,280.41
2884,BL03,453.30
2885,BL03,173.98
2886,BL33,11.37
2887,BL35,353.33
2891,BL21,333.01
2892,A06,285.40
2892,BL21,463.10
2900,N01,386.09
2902,W01,81.97
2906,N01,455.98
2913,A06,271.66
2913,BL21,471.31
2914,BL21,458.26
2921,A05,178.57
2931,YL11,272.13
2933,YL12,388.83
2934,YL12,458.90
2946,BL08,228.03
2947,BL08,112.78
2948,BL07,374.70
2949,BL07,158.06
2964,BL06,203.82
2967,BL07,293.45
2968,BL07,28.64
2969,BL08,287.95
2970,BL08,231.76
2971,BL08,463.19
2979,S11,270.79
2980,S11,304.00
2989,S09,474.21
2995,G02,470.94
2995,G03,190.90
3011,S09,467.22
3031,N09,473.41
3032,N03,115.36
3033,A08,317.69
3033,N03,406.22
3033,N02,323.54
3034,A08,394.06
3034,N02,275.02
3038,N09,486.39
3044,PK30,471.55
3045,PK30,291.98
3067,CEN_SU,466.61
3067,W01,356.49
3067,CEN_SI,466.61
3070,BL27,225.33
3071,BL27,242.10
3074,CEN_SU,437.68
3074,W01,266.89
3074,CEN_SI,437.68
3097,PK30,434.99
3106,PP12,157.11
3107,PP12,116.89
3109,PK01,396.82
3110,N13,400.26
3111,N15,35.15
3112,N17,342.70
3112,PK16,398.58
3113,N18,274.98
3114,N18,147.22
3115,N19,420.28
3115,N18,351.56
3116,N19,208.12
3117,N19,15.20
3118,N19,454.55
3119,N20,415.42
3120,N20,49.69
3123,N21,145.16
3124,N21,232.12
3125,N22,231.76
3126,N22,243.66
3127,N23,436.49
3127,N22,471.48
3128,N23,63.84
3139,N23,243.48
3140,N23,327.63
3141,N22,391.05
3142,N22,301.27
3143,N22,145.96
3144,N22,227.97
3145,N21,263.36
3146,N21,51.73
3149,N20,103.04
3150,N20,491.50
3151,N19,341.29
3152,N19,50.20
3153,N19,223.38
3154,N19,417.28
3154,N18,354.96
3155,N18,346.36
3156,N13,233.17
3157,N13,483.98
3160,N13,486.92
3161,PK01,427.15
3163,PP12,243.14
3164,PP12,151.81
3172,BL25,357.11
3175,S05,339.98
3179,S03,417.70
3180,S02,335.25
3180,S03,466.52
3183,A05,120.75
3213,PK24,366.05
3214,PK24,104.50
3215,PK24,271.26
3216,PK25,458.22
3217,PK26,396.64
3218,PK26,413.56
3226,PK26,193.92
3227,PK26,118.15
3228,PK26,362.26
3256,YL09,498.81
3257,S03,362.11
3260,S05,487.29
3268,YL21,455.13
3269,YL21,398.59
3272,YL22,412.52
3273,YL22,175.01
3276,E12,309.89
3278,E12,357.67
3279,E11,481.49
3282,E10,237.11
3283,E09,268.81
3285,E09,331.84
3286,E08,494.99
3287,BL25,375.47
3289,E09,317.22
3290,E09,171.36
3291,E09,304.86
3292,E10,120.99
3293,E10,360.11
3294,E11,167.73
3296,E11,482.48
3297,E12,359.77
3298,E12,199.70
3300,E15,81.68
3300,YL23,102.58
3302,YL22,400.67
3303,YL22,99.61
3304,YL22,279.78
3305,YL22,454.15
3308,YL21,226.40
3309,YL21,220.43
3330,BL09,461.77
3331,BL09,175.39
3332,BL09,241.89
3385,N07,474.76
3397,BL09,309.47
3398,BL09,49.53
3420,N03,408.43
3430,BL30,380.24
3431,BL31,239.73
3432,BL31,125.18
3433,BL31,100.79
3434,BL30,497.82
3442,N03,444.99
3489,S08,449.51
3490,S08,471.36
3491,S08,445.33
3492,S08,421.42
3528,BL14,434.39
3531,BL15,457.82
3533,BL15,470.56
3533,YL01,431.47
3535,YL02,341.12
3536,YL02,91.31
3537,YL02,26.65
3539,YL03,333.91
3540,YL03,184.54
3541,YL03,87.81
3542,YL03,380.20
3545,YL04,311.05
3546,YL04,82.32
3547,YL04,432.33
3547,YL05,404.28
3548,YL05,170.73
3549,YL05,182.49
3551,YL06,412.26
3552,YL06,150.62
3553,YL06,31.66
3554,YL06,198.71
3555,YL06,482.70
3555,YL07,364.44
3556,YL07,138.77
3557,YL07,480.08
3558,YL08,403.61
3559,YL08,173.57
3560,YL08,301.33
3561,YL08,48.35
3562,YL08,150.84
3563,YL08,384.27
3565,YL07,235.80
3566,YL07,82.12
3567,YL06,480.91
3567,YL07,366.17
3568,YL06,149.50
3569,YL06,11.43
3570,YL06,149.99
3571,YL06,462.98
3573,YL05,207.69
3574,YL05,168.38
3575,YL04,431.39
3575,YL05,405.18
3576,YL04,52.18
3577,YL04,232.11
3578,BL30,400.89
3579,BL30,172.18
3580,BL30,59.21
3581,BL29,372.38
3582,BL28,172.21
3589,S06,231.34
3590,S06,193.60
3591,S06,350.84
3612,S06,405.84
3613,S06,252.09
3614,S06,304.46
3617,BL28,434.30
3618,BL29,456.26
3619,BL29,300.42
3621,BL30,402.38
3622,BL30,458.29
3623,BL31,379.00
3624,BL31,448.91
3636,BL38,212.27
3637,BL38,73.04
